"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_PlumMarmaladeCan_Opened_DS","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","Ein süßer, nahrhafter Aufstrich aus Pflaumen, der einen kräftigen Fruchtgeschmack bietet und lange haltbar ist. Nach dem Öffnen rasch verzehren.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.","A sweet, hearty spread made from plums, providing a strong fruity flavor and a good source of energy. It keeps well and lasts long. Eat up before it spoils.",
"STR_CookZ_PearMarmaladeCan_DN","Pear Marmalade","Pear Marmalade","Pear Marmalade","Birnenmarmelade","Pear Marmalade","Pear Marmalade","Pear Marmalade","Pear Marmalade","Pear Marmalade","Pear Marmalade","Pear Marmalade","Pear Marmalade","Pear Marmalade",
"STR_CookZ_PearMarmaladeCan_DS","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","Ein süßer Aufstrich aus Birnen, der einen milden, fruchtigen Geschmack bietet und gut lagerbar ist.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods.",
"STR_CookZ_PearMarmaladeCan_Opened_DS","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","Ein süßer Aufstrich aus Birnen, der einen milden, fruchtigen Geschmack bietet und gut lagerbar ist. Nach dem Öffnen rasch verzehren.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.","A sweet spread made from pears, offering a smooth flavor with a subtle fruitiness, and it stores well for long periods. Eat up before it spoils.",
"STR_CookZ_Beef_Sausage_DN","Beef Sausage","Beef Sausage","Beef Sausage","Rindswurst","Beef Sausage","Beef Sausage","Beef Sausage","Beef Sausage","Beef Sausage","Beef Sausage","Beef Sausage","Beef Sausage","Beef Sausage",
"STR_CookZ_Beef_Sausage_DS","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","Eine kräftige, sättigende Wurst aus Rindfleisch, die für langanhaltende Energie sorgt und auch in schwierigen Zeiten nicht an Nährwert verliert.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.","A rich, filling sausage made from beef, designed to provide sustained energy and last through the toughest conditions.",
"STR_CookZ_Chicken_Sausage_DN","Chicken Sausage","Chicken Sausage","Chicken Sausage","Hühnerwurst","Chicken Sausage","Chicken Sausage","Chicken Sausage","Chicken Sausage","Chicken Sausage","Chicken Sausage","Chicken Sausage","Chicken Sausage","Chicken Sausage",
"STR_CookZ_Chicken_Sausage_DS","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","Eine magere und nährstoffreiche Wurst aus Hähnchen, die eine zuverlässige Energiequelle bietet und sich gut lagern und transportieren lässt.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.","A lean and nutrient-dense sausage made from chicken, offering a reliable source of energy that's easy to store and transport.",
"STR_CookZ_Pig_Sausage_DN","Pig Sausage","Pig Sausage","Pig Sausage","Schweinswurst","Pig Sausage","Pig Sausage","Pig Sausage","Pig Sausage","Pig Sausage","Pig Sausage","Pig Sausage","Pig Sausage","Pig Sausage",
"STR_CookZ_Pig_Sausage_DS","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","Eine reichhaltige, sättigende Wurst aus Schwein, die die nötige Energie liefert, um dich auch in schwierigen Zeiten durchzuhalten.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.","A rich, satisfying sausage made from pork, providing the necessary fuel to keep you going in the hardest of times.",
"STR_CookZ_Goat_Sausage_DN","Goat Sausage","Goat Sausage","Goat Sausage","Ziegenwurst","Goat Sausage","Goat Sausage","Goat Sausage","Goat Sausage","Goat Sausage","Goat Sausage","Goat Sausage","Goat Sausage","Goat Sausage",
"STR_CookZ_Goat_Sausage_DS","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","Eine einzigartige und aromatische Wurst aus Ziegenfleisch, kompakt und voller Eiweiß, ideal für die Vorratshaltung.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.","A unique and flavorful sausage made from goat meat, compact and packed with protein, perfect for long-term storage.",
"STR_CookZ_Bear_Sausage_DN","Bear Sausage","Bear Sausage","Bear Sausage","Bärenwurst","Bear Sausage","Bear Sausage","Bear Sausage","Bear Sausage","Bear Sausage","Bear Sausage","Bear Sausage","Bear Sausage","Bear Sausage",
"STR_CookZ_Bear_Sausage_DS","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","Eine kräftige Wurst aus Bärenfleisch, vollgepackt mit reichhaltigem Geschmack und Energie, die dich durch die härtesten Herausforderungen bringt.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.","A bold sausage made from bear meat, packed with rich flavors and energy, sure to keep you fueled for the toughest challenges.",
"STR_CookZ_Sheep_Sausage_DN","Sheep Sausage","Sheep Sausage","Sheep Sausage","Schafwurst","Sheep Sausage","Sheep Sausage","Sheep Sausage","Sheep Sausage","Sheep Sausage","Sheep Sausage","Sheep Sausage","Sheep Sausage","Sheep Sausage",
"STR_CookZ_Sheep_Sausage_DS","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","Eine würzige Wurst aus Schaf, reich an Geschmack und Eiweiß, die langanhaltende Nahrung für längere Zeit ohne frische Vorräte bietet.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.","A tender yet hearty sausage made from sheep, offering a filling and long-lasting energy boost when supplies run low.",
"STR_CookZ_Boar_Sausage_DN","Boar Sausage","Boar Sausage","Boar Sausage","Wildschweinwurst","Boar Sausage","Boar Sausage","Boar Sausage","Boar Sausage","Boar Sausage","Boar Sausage","Boar Sausage","Boar Sausage","Boar Sausage",
"STR_CookZ_Boar_Sausage_DS","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","Eine kräftige Wurst aus Wildschwein, vollgepackt mit intensivem, wildem Geschmack und langanhaltender Energie für die härtesten Bedingungen.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.","A robust sausage made from wild boar, packed with rich, gamey flavor and long-lasting energy for the harshest conditions.",
"STR_CookZ_Deer_Sausage_DN","Deer Sausage","Deer Sausage","Deer Sausage","Rehwurst","Deer Sausage","Deer Sausage","Deer Sausage","Deer Sausage","Deer Sausage","Deer Sausage","Deer Sausage","Deer Sausage","Deer Sausage",
"STR_CookZ_Deer_Sausage_DS","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","Eine magere, aromatische Wurst aus Hirschfleisch, vollgepackt mit Eiweiß und Energie, um dich in schwierigen Zeiten am Laufen zu halten.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.","A lean, flavorful sausage made from deer, packed with protein and energy to keep you moving in tough times.",
"STR_CookZ_Hare_Sausage_DN","Hare Sausage","Hare Sausage","Hare Sausage","Wildkaninchenwurst","Hare Sausage","Hare Sausage","Hare Sausage","Hare Sausage","Hare Sausage","Hare Sausage","Hare Sausage","Hare Sausage","Hare Sausage",
"STR_CookZ_Hare_Sausage_DS","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","Eine magere, aromatische Wurst aus Hasenfleisch, die eine kompakte und langanhaltende Energiequelle für das Überleben bietet.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.","A hearty sausage made from hare, rich in protein and perfect for withstanding long stretches without fresh food.",
"STR_CookZ_Wolf_Sausage_DN","Wolf Sausage","Wolf Sausage","Wolf Sausage","Wolfswurst","Wolf Sausage","Wolf Sausage","Wolf Sausage","Wolf Sausage","Wolf Sausage","Wolf Sausage","Wolf Sausage","Wolf Sausage","Wolf Sausage",
"STR_CookZ_Wolf_Sausage_DS","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","Eine herzhafte, wilde Wurst aus Wolfsfleisch, die langanhaltende Nährstoffe bietet und dich stark hält, wenn die Vorräte knapp sind.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.","A hearty, wild sausage from wolf, designed to provide lasting nutrition and keep you strong when food is scarce.",
"STR_CookZ_Human_Sausage_DN","Human Sausage","Human Sausage","Human Sausage","Menschenwurst","Human Sausage","Human Sausage","Human Sausage","Human Sausage","Human Sausage","Human Sausage","Human Sausage","Human Sausage","Human Sausage",
"STR_CookZ_Human_Sausage_DS","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","In extremsten Situationen hergestellt, eine Menschenwurst — etwas, das niemals hätte existieren dürfen, nur geschaffen, wenn das Überleben am dunkelsten ist.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.","Made in the most extreme circumstances, this is a human sausage — something never meant to exist, only made when survival is at its bleakest.",
"STR_CookZ_Fox_Sausage_DN","Fox Sausage","Fox Sausage","Fox Sausage","Fuchswurst","Fox Sausage","Fox Sausage","Fox Sausage","Fox Sausage","Fox Sausage","Fox Sausage","Fox Sausage","Fox Sausage","Fox Sausage",
"STR_CookZ_Fox_Sausage_DS","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","Eine aromatische Wurst aus Fuchs, die die nötige Nahrung liefert, um auch in knappen Zeiten weiterzumachen.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.","A flavorful sausage made from fox, providing the sustenance needed to keep going when supplies are limited.",
"STR_CookZ_Reindeer_Sausage_DN","Reindeer Sausage","Reindeer Sausage","Reindeer Sausage","Rentierwurst","Reindeer Sausage","Reindeer Sausage","Reindeer Sausage","Reindeer Sausage","Reindeer Sausage","Reindeer Sausage","Reindeer Sausage","Reindeer Sausage","Reindeer Sausage",
"STR_CookZ_Reindeer_Sausage_DS","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","Eine würzige, kräftige Wurst aus Rentier, die langanhaltende Nahrung für Überlebenssituationen bietet.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.","A flavorful, robust sausage from reindeer, providing long-lasting nourishment for survival situations.",
"STR_CookZ_Cheese_DN","Cheese","Cheese","Cheese","Käse","Cheese","Cheese","Cheese","Cheese","Cheese","Cheese","Cheese","Cheese","Cheese",
"STR_CookZ_Cheese_DS","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.","Ein Stück improvisierter Käse. Es schmeckt fast wie das Original.","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.","A piece of makeshift cheese. It almost tastes like the real thing.",
"STR_CookZ_DisinfectRags_DN","Disinfect","Disinfect","Disinfect","Desinfizieren","Disinfect","Disinfect","Disinfect","Disinfect","Disinfect","Disinfect","Disinfect","Disinfect","Disinfect",
"STR_CookZ_Intro","General Cooking Instructions","General Cooking Instructions","General Cooking Instructions","Kochanweisungen","General Cooking Instructions","General Cooking Instructions","General Cooking Instructions","General Cooking Instructions","General Cooking Instructions","General Cooking Instructions","General Cooking Instructions","General Cooking Instructions","General Cooking Instructions",
"STR_CookZ_PackagingMaterials","Packaging Materials","Packaging Materials","Packaging Materials","Verpackungen","Packaging Materials","Packaging Materials","Packaging Materials","Packaging Materials","Packaging Materials","Packaging Materials","Packaging Materials","Packaging Materials","Packaging Materials",
"STR_CookZ_CannedDishes","Canned Dishes","Canned Dishes","Canned Dishes","Konserven","Canned Dishes","Canned Dishes","Canned Dishes","Canned Dishes","Canned Dishes","Canned Dishes","Canned Dishes","Canned Dishes","Canned Dishes",
"STR_CookZ_BoxedDishes","Boxed Dishes","Boxed Dishes","Boxed Dishes","Gerichte aus der Box","Boxed Dishes","Boxed Dishes","Boxed Dishes","Boxed Dishes","Boxed Dishes","Boxed Dishes","Boxed Dishes","Boxed Dishes","Boxed Dishes",
"STR_CookZ_Sausages","Sausages","Sausages","Sausages","Wurst Spezialitäten","Sausages","Sausages","Sausages","Sausages","Sausages","Sausages","Sausages","Sausages","Sausages",
"STR_CookZ_Miscellaneous","Miscellaneous","Miscellaneous","Miscellaneous","Sonstiges","Miscellaneous","Miscellaneous","Miscellaneous","Miscellaneous","Miscellaneous","Miscellaneous","Miscellaneous","Miscellaneous","Miscellaneous",
